partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
train,termico_motor_principal,113,1,0.00011500885975331109,0.0016709153565943587,113.0,113.0,
train,termico_sopla_1,0,0,0.0,0.0,0.0,0.0,
train,termico_volteo_1,0,0,0.0,0.0,0.0,0.0,
train,valvulas_aceite,0,0,0.0,0.0,0.0,0.0,
train,valvulas_aceite_abiertas,15035,3012,0.01530228501231002,0.11418119975041477,4.991699867197875,60.0,326.25307206908
train,valvulas_polvo,0,0,0.0,0.0,0.0,0.0,
train,velocidad_variador_amasadora,877278,8,0.8928738271386305,0.49118630428187904,109659.75,254113.0,105483.57142857143
train,volcar_cazo,7408,1978,0.007539695867721491,0.06400086319368714,3.7451971688574317,8.0,496.45169448659584
train,volcar_cazo_2,0,0,0.0,0.0,0.0,0.0,
train,arranque_cabezal,0,0,0.0,0.0,0.0,0.0,
train,arranque_rodillos,17,6,1.73022178389937e-05,0.0002986599157096277,2.8333333333333335,3.0,59043.6
train,desconectador_rodillo_frontal,164,1,0.0001669155132702922,0.0023353431487784064,164.0,164.0,
train,desconectador_rodillo_trasero,164,1,0.0001669155132702922,0.0023353431487784064,164.0,164.0,
train,engrase_manual,11,4,1.1195552719348867e-05,0.0002002817396737681,2.75,3.0,306554.6666666667
train,extraccion_dado,6,3,6.1066651196448366e-06,0.00011458469775407903,2.0,2.0,26084.5
train,fallo_variador_cabezal,0,0,0.0,0.0,0.0,0.0,
train,fallo_variador_rodillos,220,10,0.00022391105438697732,0.003037872956756912,22.0,62.0,88756.44444444444
train,golpes_min,852378,4,0.8675311668921044,0.5641703019006664,213094.5,305769.0,240131.33333333334
train,inicio_trabajo,777958,18,0.7917881638581096,0.7380507980522846,43219.88888888889,241893.0,53556.58823529412
train,micro_barra_peso,4188,13,0.004262452253512096,0.03969927215929276,322.15384615384613,2122.0,76733.66666666667
train,paro_emergencia,258,3,0.00026258660014472795,0.003502229004195852,86.0,164.0,452130.0
train,presion,593147,772,0.6036916826203292,0.9687500940167482,768.3251295336787,174354.0,1274.249027237354
train,puerta_frontal_derecha,48170,217,0.04902634313554863,0.28224644723219405,221.9815668202765,15708.0,4507.087962962963
train,puerta_frontal_izquierda,64578,177,0.06572603668273737,0.3497677203204967,364.8474576271187,18481.0,5370.386363636364
train,puerta_lateral_derecha,44022,99,0.04480460198283417,0.2639031746729504,444.6666666666667,16565.0,9759.724489795919
train,puerta_lateral_izquierda,162582,88,0.16547230474701613,0.6472417761218984,1847.5227272727273,56162.0,10993.71264367816
train,puerta_trasera,42513,81,0.04326877570524349,0.257083721555427,524.8518518518518,16701.0,12069.7875
train,rodillos_en_marcha,566113,1012,0.5761770851462495,0.9831908460299392,559.4001976284585,66754.0,971.7517309594461
train,seleccion_auto,3,1,3.0533325598224183e-06,6.03456881618097e-05,3.0,3.0,
train,seleccion_manual,2,1,2.0355550398816123e-06,4.142118363547311e-05,2.0,2.0,
train,tapa_inferior,24486,43,0.024921300353270576,0.16824478872869092,569.4418604651163,12519.0,22512.85714285714
train,tapa_superior,24022,34,0.02444905158401804,0.16573989949271156,706.5294117647059,12519.0,27830.0
train,termico_bomba_agua,526,2,0.000535350975488864,0.006589922183840725,263.0,362.0,124068.0
train,termico_cabezal,2,1,2.0355550398816123e-06,4.142118363547311e-05,2.0,2.0,
train,termico_rodillo_frontal,0,0,0.0,0.0,0.0,0.0,
